Model,N,Accuracy (%),Weighted F1,Weighted Precision,Weighted Recall
MetaCH,31334,89.78,0.8941,0.9033,0.8978
GPT-4o,31718,85.56,0.8451,0.8712,0.8556
Qwen3-30B,31718,85.3,0.8412,0.8722,0.853
Claude-Sonnet-3.7,31718,84.87,0.8413,0.8525,0.8487
o3-mini,31718,79.21,0.7638,0.8239,0.7921
GPT-5,31718,79.0,0.7653,0.8094,0.79
MedGemma-27B,31718,66.92,0.5398,0.7561,0.6692
DeepSeek-Distill-32B,31718,66.64,0.5331,0.7777,0.6664
