cancer_type,model,f1,mean_prob,n_samples,n_valid
Esophagogastric Cancer,claude-sonnet-45,0.7418899858956276,0.6648566610455312,593,593
Esophagogastric Cancer,claude-opus-45,0.7873303167420814,0.6214839797639122,593,593
Esophagogastric Cancer,deepseek,0.7529665587918015,0.8784991568296795,593,593
Esophagogastric Cancer,deepseek-r1,0.7661188369152971,0.727689713322091,593,593
Esophagogastric Cancer,qwen3-vl-235b-a22b,0.7559241706161137,0.7661382799325465,593,593
Esophagogastric Cancer,AlphaMissense,0.8879432624113475,0.9183404721753795,593,593
Cancer of Unknown Primary,gpt-5,0.8135095447870778,0.8007291666666667,576,576
Cancer of Unknown Primary,o3-mini,0.818955042527339,0.7232638888888889,576,576
Cancer of Unknown Primary,gpt-4o,0.7857142857142857,0.7946701388888888,576,576
Cancer of Unknown Primary,medgemma,0.7850877192982456,0.9244791666666666,576,576
Cancer of Unknown Primary,qwen3,0.7945492662473794,0.9202083333333335,576,576
Cancer of Unknown Primary,claude-sonnet-37,0.7936507936507936,0.8373263888888889,576,576
Cancer of Unknown Primary,claude-sonnet-45,0.7728459530026109,0.7049305555555555,576,576
Cancer of Unknown Primary,claude-opus-45,0.811554332874828,0.6700347222222223,576,576
Cancer of Unknown Primary,deepseek,0.7932843651626443,0.8855902777777777,576,576
Cancer of Unknown Primary,deepseek-r1,0.8028673835125448,0.7376736111111111,576,576
Cancer of Unknown Primary,qwen3-vl-235b-a22b,0.7877358490566038,0.7500868055555555,576,576
Cancer of Unknown Primary,AlphaMissense,0.8885941644562334,0.9095574652777779,576,576
Prostate Cancer,gpt-5,0.7955801104972375,0.8014869888475835,538,538
Prostate Cancer,o3-mini,0.7942446043165468,0.6839405204460967,538,538
Prostate Cancer,gpt-4o,0.6970802919708029,0.7705204460966542,538,538
Prostate Cancer,medgemma,0.7421555252387448,0.9325278810408921,538,538
Prostate Cancer,qwen3,0.7327690447400241,0.8900371747211897,538,538
Prostate Cancer,claude-sonnet-37,0.7701492537313432,0.8355018587360595,538,538
Prostate Cancer,claude-sonnet-45,0.7169811320754716,0.6502230483271374,538,538
Prostate Cancer,claude-opus-45,0.7909967845659164,0.6403717472118958,538,538
Prostate Cancer,deepseek,0.7505882352941177,0.8905204460966543,538,538
Prostate Cancer,deepseek-r1,0.751145038167939,0.686895910780669,538,538
Prostate Cancer,qwen3-vl-235b-a22b,0.7465564738292011,0.7149442379182156,538,538
Prostate Cancer,AlphaMissense,0.8850393700787401,0.9114802973977695,538,538
Mature B-Cell Neoplasms,gpt-5,0.8144796380090498,0.8260460251046026,478,478
Mature B-Cell Neoplasms,o3-mini,0.8653061224489796,0.7552092050209205,478,478
Mature B-Cell Neoplasms,gpt-4o,0.7908396946564885,0.7947280334728033,478,478
Mature B-Cell Neoplasms,medgemma,0.8214765100671141,0.9359832635983261,478,478
Mature B-Cell Neoplasms,qwen3,0.8615751789976134,0.9289121338912133,478,478
Mature B-Cell Neoplasms,claude-sonnet-37,0.8450704225352113,0.8309623430962343,478,478
Mature B-Cell Neoplasms,claude-sonnet-45,0.787701317715959,0.7045188284518827,478,478
Mature B-Cell Neoplasms,claude-opus-45,0.8525547445255475,0.6869874476987446,478,478
Mature B-Cell Neoplasms,deepseek,0.8632580261593341,0.9006276150627612,478,478
Mature B-Cell Neoplasms,deepseek-r1,0.8282548476454293,0.7421966527196653,478,478
Mature B-Cell Neoplasms,qwen3-vl-235b-a22b,0.8299319727891157,0.7348535564853557,478,478
Mature B-Cell Neoplasms,AlphaMissense,0.9133425034387895,0.9240799163179916,478,478
Pancreatic Cancer,gpt-5,0.825147347740668,0.8088277511961722,418,418
Pancreatic Cancer,o3-mini,0.8347529812606473,0.7202153110047845,418,418
Pancreatic Cancer,gpt-4o,0.8204283360790774,0.8129665071770333,418,418
Pancreatic Cancer,medgemma,0.790625,0.9373205741626792,418,418
Pancreatic Cancer,qwen3,0.8258426966292135,0.9328947368421051,418,418
Pancreatic Cancer,claude-sonnet-37,0.8027210884353742,0.8388755980861243,418,418
Pancreatic Cancer,claude-sonnet-45,0.7902097902097902,0.7050239234449759,418,418
Pancreatic Cancer,claude-opus-45,0.8327402135231317,0.6774641148325358,418,418
Pancreatic Cancer,deepseek,0.8258426966292135,0.9126794258373203,418,418
Pancreatic Cancer,deepseek-r1,0.8094435075885329,0.7324401913875598,418,418
Pancreatic Cancer,qwen3-vl-235b-a22b,0.8158295281582952,0.805,418,418
Pancreatic Cancer,AlphaMissense,0.9217391304347826,0.9202495215311004,418,418
Ovarian Cancer,gpt-5,0.8440366972477065,0.8191907514450867,346,346
Ovarian Cancer,o3-mini,0.8333333333333334,0.7351156069364162,346,346
Ovarian Cancer,gpt-4o,0.782608695652174,0.8019075144508669,346,346
Ovarian Cancer,medgemma,0.7940630797773655,0.9395953757225434,346,346
Ovarian Cancer,qwen3,0.826530612244898,0.9312716763005779,346,346
Ovarian Cancer,claude-sonnet-37,0.8228105906313645,0.843034682080925,346,346
Ovarian Cancer,claude-sonnet-45,0.7799564270152506,0.6991040462427746,346,346
Ovarian Cancer,claude-opus-45,0.8434782608695652,0.6814739884393063,346,346
Ovarian Cancer,deepseek,0.8251273344651953,0.8971098265895951,346,346
Ovarian Cancer,deepseek-r1,0.8433268858800773,0.7768786127167628,346,346
Ovarian Cancer,qwen3-vl-235b-a22b,0.8324125230202578,0.7990462427745664,346,346
Ovarian Cancer,AlphaMissense,0.930327868852459,0.9223173410404625,346,346
Soft Tissue Sarcoma,gpt-5,0.8498583569405099,0.8187828947368421,304,304
Soft Tissue Sarcoma,o3-mini,0.8418491484184915,0.7293750000000001,304,304
Soft Tissue Sarcoma,gpt-4o,0.7842105263157895,0.7938157894736841,304,304
Soft Tissue Sarcoma,medgemma,0.7619047619047619,0.9411184210526317,304,304
Soft Tissue Sarcoma,qwen3,0.7791164658634538,0.9356578947368419,304,304
Soft Tissue Sarcoma,claude-sonnet-37,0.8220551378446115,0.8376315789473684,304,304
Soft Tissue Sarcoma,claude-sonnet-45,0.7930174563591023,0.7080263157894736,304,304
Soft Tissue Sarcoma,claude-opus-45,0.827027027027027,0.6638486842105262,304,304
Soft Tissue Sarcoma,deepseek,0.7791164658634538,0.9046052631578947,304,304
Soft Tissue Sarcoma,deepseek-r1,0.8193384223918575,0.6898026315789473,304,304
Soft Tissue Sarcoma,qwen3-vl-235b-a22b,0.7747747747747747,0.7634210526315789,304,304
Soft Tissue Sarcoma,AlphaMissense,0.9053708439897699,0.9132171052631579,304,304
Hepatobiliary Cancer,gpt-5,0.8840579710144928,0.8388659793814432,291,291
Hepatobiliary Cancer,o3-mini,0.8771186440677966,0.7865979381443298,291,291
Hepatobiliary Cancer,gpt-4o,0.8680089485458613,0.8223367697594502,291,291
Hepatobiliary Cancer,medgemma,0.8343815513626834,0.9438144329896908,291,291
Hepatobiliary Cancer,qwen3,0.867704280155642,0.93680412371134,291,291
Hepatobiliary Cancer,claude-sonnet-37,0.8685968819599109,0.8582474226804123,291,291
Hepatobiliary Cancer,claude-sonnet-45,0.8629213483146068,0.7593814432989691,291,291
Hepatobiliary Cancer,claude-opus-45,0.8787185354691075,0.7291065292096219,291,291
Hepatobiliary Cancer,deepseek,0.8588235294117647,0.9118556701030929,291,291
Hepatobiliary Cancer,deepseek-r1,0.854122621564482,0.7773883161512029,291,291
Hepatobiliary Cancer,qwen3-vl-235b-a22b,0.8778467908902692,0.8238144329896907,291,291
Hepatobiliary Cancer,AlphaMissense,0.9288888888888889,0.9285903780068727,291,291
Glioma,gpt-5,0.8601583113456465,0.8072280701754386,285,285
Glioma,o3-mini,0.8564476885644768,0.7183859649122807,285,285
Glioma,gpt-4o,0.8428927680798005,0.8137543859649122,285,285
Glioma,medgemma,0.8528138528138528,0.934561403508772,285,285
Glioma,qwen3,0.8405797101449275,0.9198596491228069,285,285
Glioma,claude-sonnet-37,0.8564476885644768,0.845438596491228,285,285
Glioma,claude-sonnet-45,0.7862796833773087,0.6785614035087719,285,285
Glioma,claude-opus-45,0.8167539267015707,0.6886666666666666,285,285
Glioma,deepseek,0.8414634146341463,0.9008771929824562,285,285
Glioma,deepseek-r1,0.8203883495145631,0.7344561403508771,285,285
Glioma,qwen3-vl-235b-a22b,0.8435374149659864,0.7704912280701754,285,285
Glioma,AlphaMissense,0.9362745098039216,0.9295217543859652,285,285
"Skin Cancer, Non-Melanoma",gpt-5,0.7317073170731707,0.7813389121338913,239,239
"Skin Cancer, Non-Melanoma",o3-mini,0.7692307692307693,0.6752301255230125,239,239
"Skin Cancer, Non-Melanoma",gpt-4o,0.6513409961685823,0.7725523012552301,239,239
"Skin Cancer, Non-Melanoma",medgemma,0.7507507507507507,0.9349372384937237,239,239
"Skin Cancer, Non-Melanoma",qwen3,0.7680412371134021,0.9275313807531381,239,239
"Skin Cancer, Non-Melanoma",claude-sonnet-37,0.7083333333333334,0.7915481171548118,239,239
"Skin Cancer, Non-Melanoma",claude-sonnet-45,0.6959706959706959,0.6232635983263595,239,239
"Skin Cancer, Non-Melanoma",claude-opus-45,0.7252747252747253,0.6011297071129705,239,239
"Skin Cancer, Non-Melanoma",deepseek,0.7668393782383419,0.9014644351464433,239,239
"Skin Cancer, Non-Melanoma",deepseek-r1,0.7235494880546075,0.6637238493723849,239,239
"Skin Cancer, Non-Melanoma",qwen3-vl-235b-a22b,0.7439024390243902,0.7086610878661088,239,239
"Skin Cancer, Non-Melanoma",AlphaMissense,0.8600682593856656,0.9109527196652719,239,239
Leukemia,gpt-5,0.9552238805970149,0.8672641509433962,212,212
Leukemia,o3-mini,0.9230769230769231,0.8290094339622641,212,212
Leukemia,gpt-4o,0.9181286549707602,0.8416981132075468,212,212
Leukemia,medgemma,0.8784530386740331,0.9426886792452829,212,212
Leukemia,qwen3,0.8739946380697051,0.9397169811320754,212,212
Leukemia,claude-sonnet-37,0.9164265129682997,0.8809905660377357,212,212
Leukemia,claude-sonnet-45,0.8855421686746988,0.785943396226415,212,212
Leukemia,claude-opus-45,0.9294117647058824,0.8025,212,212
Leukemia,deepseek,0.8723404255319149,0.9292452830188677,212,212
Leukemia,deepseek-r1,0.8951841359773371,0.8327830188679243,212,212
Leukemia,qwen3-vl-235b-a22b,0.8919667590027701,0.8647169811320754,212,212
Leukemia,AlphaMissense,0.9498525073746312,0.942747641509434,212,212
Small Cell Lung Cancer,gpt-5,0.8521739130434782,0.8404761904761904,168,168
Small Cell Lung Cancer,o3-mini,0.8897338403041825,0.753452380952381,168,168
Small Cell Lung Cancer,gpt-4o,0.8503937007874016,0.8235714285714285,168,168
Small Cell Lung Cancer,medgemma,0.8208955223880597,0.9458333333333332,168,168
Small Cell Lung Cancer,qwen3,0.8639455782312925,0.9200595238095237,168,168
Small Cell Lung Cancer,claude-sonnet-37,0.8549019607843137,0.8439285714285715,168,168
Small Cell Lung Cancer,claude-sonnet-45,0.8705882352941177,0.754345238095238,168,168
Small Cell Lung Cancer,claude-opus-45,0.8699186991869918,0.7095833333333332,168,168
Small Cell Lung Cancer,deepseek,0.87248322147651,0.907142857142857,168,168
Small Cell Lung Cancer,deepseek-r1,0.8259109311740891,0.7129761904761904,168,168
Small Cell Lung Cancer,qwen3-vl-235b-a22b,0.8467153284671532,0.8034523809523809,168,168
Small Cell Lung Cancer,AlphaMissense,0.9389312977099237,0.9386482142857143,168,168
Head and Neck Cancer,gpt-5,0.8938053097345132,0.8283233532934131,167,167
Head and Neck Cancer,o3-mini,0.8702290076335878,0.7623353293413174,167,167
Head and Neck Cancer,gpt-4o,0.8178137651821862,0.8229940119760476,167,167
Head and Neck Cancer,medgemma,0.8447653429602888,0.9350299401197604,167,167
Head and Neck Cancer,qwen3,0.8402777777777778,0.9277245508982035,167,167
Head and Neck Cancer,claude-sonnet-37,0.823045267489712,0.8377844311377247,167,167
Head and Neck Cancer,claude-sonnet-45,0.819672131147541,0.7375449101796407,167,167
Head and Neck Cancer,claude-opus-45,0.8298755186721992,0.7079640718562874,167,167
Head and Neck Cancer,deepseek,0.8432055749128919,0.9008982035928141,167,167
Head and Neck Cancer,deepseek-r1,0.8412698412698413,0.7617964071856287,167,167
Head and Neck Cancer,qwen3-vl-235b-a22b,0.8161764705882353,0.8140119760479042,167,167
Head and Neck Cancer,AlphaMissense,0.926829268292683,0.9040269461077844,167,167
Renal Cell Carcinoma,gpt-5,0.9029126213592233,0.8611851851851852,135,135
Renal Cell Carcinoma,o3-mini,0.91324200913242,0.7827407407407407,135,135
Renal Cell Carcinoma,gpt-4o,0.7872340425531915,0.7941999999999999,135,135
Renal Cell Carcinoma,medgemma,0.8444444444444444,0.947777777777778,135,135
Renal Cell Carcinoma,qwen3,0.897119341563786,0.9283703703703705,135,135
Renal Cell Carcinoma,claude-sonnet-37,0.8995215311004785,0.8691851851851852,135,135
Renal Cell Carcinoma,claude-sonnet-45,0.8514851485148515,0.7311111111111112,135,135
Renal Cell Carcinoma,claude-opus-45,0.9073170731707317,0.7451851851851853,135,135
Renal Cell Carcinoma,deepseek,0.8979591836734694,0.9218518518518519,135,135
Renal Cell Carcinoma,deepseek-r1,0.8490566037735849,0.7608888888888888,135,135
Renal Cell Carcinoma,qwen3-vl-235b-a22b,0.8687782805429864,0.7710370370370371,135,135
Renal Cell Carcinoma,AlphaMissense,0.954954954954955,0.9340103703703703,135,135
Small Bowel Cancer,gpt-5,0.8333333333333334,0.7739495798319328,119,119
Small Bowel Cancer,o3-mini,0.7763157894736842,0.6919327731092437,119,119
Small Bowel Cancer,gpt-4o,0.7633587786259542,0.7750420168067224,119,119
Small Bowel Cancer,medgemma,0.7085714285714285,0.9483193277310924,119,119
Small Bowel Cancer,qwen3,0.7204301075268817,0.9382352941176468,119,119
Small Bowel Cancer,claude-sonnet-37,0.7945205479452054,0.8278991596638655,119,119
Small Bowel Cancer,claude-sonnet-45,0.6622516556291391,0.7260504201680668,119,119
Small Bowel Cancer,claude-opus-45,0.8345323741007195,0.6461344537815124,119,119
Small Bowel Cancer,deepseek,0.7204301075268817,0.8911764705882349,119,119
Small Bowel Cancer,deepseek-r1,0.7577639751552795,0.7352100840336135,119,119
Small Bowel Cancer,qwen3-vl-235b-a22b,0.7011494252873564,0.8231932773109243,119,119
Small Bowel Cancer,AlphaMissense,0.8939393939393939,0.9122554621848739,119,119
Thyroid Cancer,gpt-5,0.8391608391608392,0.8120857142857142,105,105
Thyroid Cancer,o3-mini,0.8727272727272727,0.7834285714285714,105,105
Thyroid Cancer,gpt-4o,0.8082191780821918,0.8156190476190475,105,105
Thyroid Cancer,medgemma,0.8284023668639053,0.9419047619047617,105,105
Thyroid Cancer,qwen3,0.8524590163934426,0.9433333333333334,105,105
Thyroid Cancer,claude-sonnet-37,0.7973856209150327,0.8394285714285714,105,105
Thyroid Cancer,claude-sonnet-45,0.8289473684210527,0.7342857142857142,105,105
Thyroid Cancer,claude-opus-45,0.8860759493670886,0.7593333333333332,105,105
Thyroid Cancer,deepseek,0.8524590163934426,0.9128571428571427,105,105
Thyroid Cancer,deepseek-r1,0.8607594936708861,0.7805714285714287,105,105
Thyroid Cancer,qwen3-vl-235b-a22b,0.8522727272727273,0.8644761904761904,105,105
Thyroid Cancer,AlphaMissense,0.9044585987261147,0.9330180952380951,105,105
Cervical Cancer,gpt-5,0.8652482269503546,0.8315686274509805,102,102
