cancer_type,model,accuracy,mean_prob,n_samples,n_valid
Ovarian Cancer,deepseek,26.35189669087974,0.8284705407586763,5284,4956
Ovarian Cancer,deepseek-r1,33.91370174110522,0.661041075146697,5284,5284
Ovarian Cancer,claude-sonnet-37,10.787282361847085,0.6589875094625284,5284,5284
Ovarian Cancer,claude-sonnet-45,39.894019682059046,0.6567341915940931,5284,5284
Ovarian Cancer,claude-opus-45,39.231642694928084,0.43463927286498766,5284,5284
Endometrial Cancer,GDD-ENS,69.36823559023408,0.7457430908633274,3973,3973
Endometrial Cancer,gpt-5,57.06015605336018,0.6646086081047067,3973,3973
Endometrial Cancer,gpt-4o,29.701718907987868,0.7241506572295248,3973,3956
Endometrial Cancer,o3-mini,47.84797382330733,0.8188925245406493,3973,3973
Endometrial Cancer,medgemma,30.30455575132142,0.7901837402466649,3973,3973
Endometrial Cancer,qwen3,31.722569641841957,0.9001478112563956,3973,3518
Endometrial Cancer,qwen3-vl-235b-a22b,60.055373772967535,0.759434935816763,3973,3973
Endometrial Cancer,deepseek,15.970913008349044,0.8326151360086184,3973,3713
Endometrial Cancer,deepseek-r1,71.93556506418324,0.733662219984898,3973,3973
Endometrial Cancer,claude-sonnet-37,51.17040020135918,0.7326629750818021,3973,3973
Endometrial Cancer,claude-sonnet-45,58.19280140951422,0.7413063176440977,3973,3973
Endometrial Cancer,claude-opus-45,58.7213692423861,0.5404282115869018,3973,3973
Esophagogastric Cancer,GDD-ENS,26.944818304172273,0.5489768506056527,3715,3715
Esophagogastric Cancer,gpt-5,13.162853297442801,0.5966244952893675,3715,3715
Esophagogastric Cancer,gpt-4o,0.5960444324031428,0.6716933080465998,3715,3691
Esophagogastric Cancer,o3-mini,2.3687752355316287,0.7937658142664873,3715,3715
Esophagogastric Cancer,medgemma,0.026917900403768503,0.7714535666218034,3715,3715
Esophagogastric Cancer,qwen3,0.0,0.8915046644598252,3715,3323
Esophagogastric Cancer,qwen3-vl-235b-a22b,0.9690444145356661,0.7046301480484523,3715,3715
Esophagogastric Cancer,deepseek,0.11477761836441894,0.7161406025824962,3715,3485
Esophagogastric Cancer,deepseek-r1,6.6756393001345895,0.6487806191117093,3715,3715
Esophagogastric Cancer,claude-sonnet-37,1.857335127860027,0.6269771197846568,3715,3715
Esophagogastric Cancer,claude-sonnet-45,5.464333781965007,0.635302049622438,3715,3715
Esophagogastric Cancer,claude-opus-45,12.113055181695827,0.42548855989232837,3715,3715
Prostate Cancer,GDD-ENS,59.2217135382603,0.6777977763243951,3058,3058
Prostate Cancer,gpt-5,44.015696533682146,0.6516988227599739,3058,3058
Prostate Cancer,gpt-4o,60.0,0.6927907742998353,3058,3035
Prostate Cancer,o3-mini,51.308044473512105,0.8308011772400262,3058,3058
Prostate Cancer,medgemma,18.214519293655982,0.7730869849574885,3058,3058
Prostate Cancer,qwen3,52.65109380793474,0.8954690396737115,3058,2697
Prostate Cancer,qwen3-vl-235b-a22b,49.31327665140615,0.7145192936559843,3058,3058
Prostate Cancer,deepseek,40.449826989619375,0.7143079584775086,3058,2890
Prostate Cancer,deepseek-r1,40.614780902550685,0.7015238718116417,3058,3058
Prostate Cancer,claude-sonnet-37,51.37344669718771,0.6764551994767822,3058,3058
Prostate Cancer,claude-sonnet-45,39.73185088293002,0.669455737704918,3058,3058
Prostate Cancer,claude-opus-45,36.29823413996076,0.4969555264879006,3058,3058
Bladder Cancer,GDD-ENS,59.620119591980306,0.70432353148083,2843,2843
Bladder Cancer,gpt-5,37.81217024270137,0.6498241294407316,2843,2843
Bladder Cancer,gpt-4o,26.954368588609835,0.681913689423417,2843,2827
Bladder Cancer,o3-mini,26.837847344354554,0.8192085824832922,2843,2843
Bladder Cancer,medgemma,0.5627857896588111,0.7586352444600772,2843,2843
Bladder Cancer,qwen3,6.125760649087221,0.8925679513184583,2843,2465
Bladder Cancer,qwen3-vl-235b-a22b,14.526908195568062,0.7301477312697854,2843,2843
Bladder Cancer,deepseek,12.89004457652303,0.738632986627043,2843,2692
Bladder Cancer,deepseek-r1,29.862820963770666,0.6951248680970805,2843,2843
Bladder Cancer,claude-sonnet-37,30.742173760112557,0.6803024973619416,2843,2843
Bladder Cancer,claude-sonnet-45,24.34048540274358,0.6833509700176367,2843,2843
Bladder Cancer,claude-opus-45,44.07316215265564,0.4851864883884588,2843,2843
Soft Tissue Sarcoma,GDD-ENS,48.38328075709779,0.591594597791798,2536,2536
