cancer_type,model,precision,mean_prob,n_samples,n_valid
Pancreatic Cancer,deepseek,1.0,0.7740458750963762,5432,5188
Pancreatic Cancer,deepseek-r1,1.0,0.6795342415316642,5432,5432
Pancreatic Cancer,claude-sonnet-37,1.0,0.6929920824894127,5432,5432
Pancreatic Cancer,claude-sonnet-45,1.0,0.6938441701970897,5432,5432
Pancreatic Cancer,claude-opus-45,1.0,0.5112391824709999,5432,5432
Ovarian Cancer,GDD-ENS,1.0,0.5650023088569266,5284,5284
Ovarian Cancer,gpt-5,1.0,0.5910446631339894,5284,5284
Ovarian Cancer,gpt-4o,1.0,0.7083923135464232,5284,5256
Ovarian Cancer,o3-mini,1.0,0.7934784254352762,5284,5284
Ovarian Cancer,medgemma,1.0,0.7894303557910675,5284,5284
Ovarian Cancer,qwen3,1.0,0.8938684597604539,5284,4759
Ovarian Cancer,qwen3-vl-235b-a22b,1.0,0.7235143830431491,5284,5284
Ovarian Cancer,deepseek,1.0,0.8284705407586763,5284,4956
Ovarian Cancer,deepseek-r1,1.0,0.661041075146697,5284,5284
Ovarian Cancer,claude-sonnet-37,1.0,0.6589875094625284,5284,5284
Ovarian Cancer,claude-sonnet-45,1.0,0.6567341915940931,5284,5284
Ovarian Cancer,claude-opus-45,1.0,0.43463927286498766,5284,5284
Endometrial Cancer,GDD-ENS,1.0,0.7457430908633274,3973,3973
Endometrial Cancer,gpt-5,1.0,0.6646086081047067,3973,3973
Endometrial Cancer,gpt-4o,1.0,0.7241506572295248,3973,3956
Endometrial Cancer,o3-mini,1.0,0.8188925245406493,3973,3973
Endometrial Cancer,medgemma,1.0,0.7901837402466649,3973,3973
Endometrial Cancer,qwen3,1.0,0.9001478112563956,3973,3518
Endometrial Cancer,qwen3-vl-235b-a22b,1.0,0.759434935816763,3973,3973
Endometrial Cancer,deepseek,1.0,0.8326151360086184,3973,3713
Endometrial Cancer,deepseek-r1,1.0,0.733662219984898,3973,3973
Endometrial Cancer,claude-sonnet-37,1.0,0.7326629750818021,3973,3973
Endometrial Cancer,claude-sonnet-45,1.0,0.7413063176440977,3973,3973
Endometrial Cancer,claude-opus-45,1.0,0.5404282115869018,3973,3973
Esophagogastric Cancer,GDD-ENS,1.0,0.5489768506056527,3715,3715
Esophagogastric Cancer,gpt-5,1.0,0.5966244952893675,3715,3715
Esophagogastric Cancer,gpt-4o,1.0,0.6716933080465998,3715,3691
Esophagogastric Cancer,o3-mini,1.0,0.7937658142664873,3715,3715
Esophagogastric Cancer,medgemma,1.0,0.7714535666218034,3715,3715
Esophagogastric Cancer,qwen3,0.0,0.8915046644598252,3715,3323
Esophagogastric Cancer,qwen3-vl-235b-a22b,1.0,0.7046301480484523,3715,3715
Esophagogastric Cancer,deepseek,1.0,0.7161406025824962,3715,3485
Esophagogastric Cancer,deepseek-r1,1.0,0.6487806191117093,3715,3715
Esophagogastric Cancer,claude-sonnet-37,1.0,0.6269771197846568,3715,3715
Esophagogastric Cancer,claude-sonnet-45,1.0,0.635302049622438,3715,3715
Esophagogastric Cancer,claude-opus-45,1.0,0.42548855989232837,3715,3715
Prostate Cancer,GDD-ENS,1.0,0.6777977763243951,3058,3058
Prostate Cancer,gpt-5,1.0,0.6516988227599739,3058,3058
Prostate Cancer,gpt-4o,1.0,0.6927907742998353,3058,3035
Prostate Cancer,o3-mini,1.0,0.8308011772400262,3058,3058
Prostate Cancer,medgemma,1.0,0.7730869849574885,3058,3058
Prostate Cancer,qwen3,1.0,0.8954690396737115,3058,2697
Prostate Cancer,qwen3-vl-235b-a22b,1.0,0.7145192936559843,3058,3058
Prostate Cancer,deepseek,1.0,0.7143079584775086,3058,2890
Prostate Cancer,deepseek-r1,1.0,0.7015238718116417,3058,3058
Prostate Cancer,claude-sonnet-37,1.0,0.6764551994767822,3058,3058
Prostate Cancer,claude-sonnet-45,1.0,0.669455737704918,3058,3058
Prostate Cancer,claude-opus-45,1.0,0.4969555264879006,3058,3058
Bladder Cancer,GDD-ENS,1.0,0.70432353148083,2843,2843
Bladder Cancer,gpt-5,1.0,0.6498241294407316,2843,2843
Bladder Cancer,gpt-4o,1.0,0.681913689423417,2843,2827
Bladder Cancer,o3-mini,1.0,0.8192085824832922,2843,2843
Bladder Cancer,medgemma,1.0,0.7586352444600772,2843,2843
Bladder Cancer,qwen3,1.0,0.8925679513184583,2843,2465
Bladder Cancer,qwen3-vl-235b-a22b,1.0,0.7301477312697854,2843,2843
Bladder Cancer,deepseek,1.0,0.738632986627043,2843,2692
Bladder Cancer,deepseek-r1,1.0,0.6951248680970805,2843,2843
Bladder Cancer,claude-sonnet-37,1.0,0.6803024973619416,2843,2843
Bladder Cancer,claude-sonnet-45,1.0,0.6833509700176367,2843,2843
Bladder Cancer,claude-opus-45,1.0,0.4851864883884588,2843,2843
Soft Tissue Sarcoma,GDD-ENS,1.0,0.591594597791798,2536,2536
Soft Tissue Sarcoma,gpt-5,1.0,0.6057413249211356,2536,2536
Soft Tissue Sarcoma,gpt-4o,1.0,0.6856538917423942,2536,2531
Soft Tissue Sarcoma,o3-mini,1.0,0.8055599369085173,2536,2536
Soft Tissue Sarcoma,medgemma,1.0,0.7760055205047318,2536,2536
Soft Tissue Sarcoma,qwen3,1.0,0.8941718334809566,2536,2258
Soft Tissue Sarcoma,qwen3-vl-235b-a22b,1.0,0.7141719242902208,2536,2536
Soft Tissue Sarcoma,deepseek,1.0,0.7685169309901414,2536,2333
Soft Tissue Sarcoma,deepseek-r1,1.0,0.6634384858044164,2536,2536
Soft Tissue Sarcoma,claude-sonnet-37,1.0,0.6400236593059937,2536,2536
Soft Tissue Sarcoma,claude-sonnet-45,1.0,0.6400355450236966,2536,2536
Soft Tissue Sarcoma,claude-opus-45,1.0,0.4249842146803473,2536,2536
Hepatobiliary Cancer,GDD-ENS,1.0,0.5700988114754098,2440,2440
Hepatobiliary Cancer,gpt-5,1.0,0.6099590163934426,2440,2440
Hepatobiliary Cancer,gpt-4o,1.0,0.684510128152129,2440,2419
Hepatobiliary Cancer,o3-mini,1.0,0.8000245901639345,2440,2440
Hepatobiliary Cancer,medgemma,1.0,0.7853688524590163,2440,2440
Hepatobiliary Cancer,qwen3,1.0,0.8895341328413283,2440,2168
Hepatobiliary Cancer,qwen3-vl-235b-a22b,1.0,0.7165081967213115,2440,2440
Hepatobiliary Cancer,deepseek,1.0,0.7455824175824176,2440,2275
Hepatobiliary Cancer,deepseek-r1,1.0,0.6657745901639344,2440,2440
Hepatobiliary Cancer,claude-sonnet-37,1.0,0.6621762295081968,2440,2440
Hepatobiliary Cancer,claude-sonnet-45,1.0,0.658700495049505,2440,2440
Hepatobiliary Cancer,claude-opus-45,1.0,0.4700861008610086,2440,2440
Thyroid Cancer,GDD-ENS,1.0,0.6240452495974236,1863,1863
Thyroid Cancer,gpt-5,1.0,0.6180515297906601,1863,1863
Thyroid Cancer,gpt-4o,1.0,0.7121092482422932,1863,1849
Thyroid Cancer,o3-mini,1.0,0.8093344068706387,1863,1863
Thyroid Cancer,medgemma,1.0,0.7991411701556628,1863,1863
Thyroid Cancer,qwen3,1.0,0.8906065857885614,1863,1731
Thyroid Cancer,qwen3-vl-235b-a22b,1.0,0.7480300590445518,1863,1863
Thyroid Cancer,deepseek,1.0,0.7733961153619776,1863,1699
Thyroid Cancer,deepseek-r1,1.0,0.6621846484165326,1863,1863
Thyroid Cancer,claude-sonnet-37,1.0,0.705077831454643,1863,1863
Thyroid Cancer,claude-sonnet-45,1.0,0.6613501882732651,1863,1863
Thyroid Cancer,claude-opus-45,1.0,0.486784755770263,1863,1863
Renal Cell Carcinoma,GDD-ENS,1.0,0.693889616519174,1695,1695
Renal Cell Carcinoma,gpt-5,1.0,0.7200589970501475,1695,1695
Renal Cell Carcinoma,gpt-4o,1.0,0.7264277251184834,1695,1688
Renal Cell Carcinoma,o3-mini,1.0,0.84905604719764,1695,1695
Renal Cell Carcinoma,medgemma,1.0,0.8033333333333332,1695,1695
Renal Cell Carcinoma,qwen3,1.0,0.8959632402995233,1695,1469
Renal Cell Carcinoma,qwen3-vl-235b-a22b,1.0,0.7538053097345132,1695,1695
