cancer_type,model,precision,mean_prob,n_samples,n_valid
Adrenocortical Carcinoma,medgemma,1.0,0.7773584905660376,159,159
Adrenocortical Carcinoma,qwen3,1.0,0.903581081081081,159,148
Adrenocortical Carcinoma,qwen3-vl-235b-a22b,0.0,0.7274842767295597,159,159
Adrenocortical Carcinoma,deepseek,1.0,0.7853741496598639,159,147
Adrenocortical Carcinoma,deepseek-r1,1.0,0.661320754716981,159,159
Adrenocortical Carcinoma,claude-sonnet-37,1.0,0.6623899371069183,159,159
Adrenocortical Carcinoma,claude-sonnet-45,0.0,0.6558490566037736,159,159
Adrenocortical Carcinoma,claude-opus-45,0.0,0.41647798742138376,159,159
Nerve Sheath Tumor,GDD-ENS,1.0,0.5870942622950821,122,122
Nerve Sheath Tumor,gpt-5,1.0,0.637704918032787,122,122
Nerve Sheath Tumor,gpt-4o,1.0,0.7086065573770493,122,122
Nerve Sheath Tumor,o3-mini,1.0,0.8165573770491801,122,122
Nerve Sheath Tumor,medgemma,0.0,0.7627049180327867,122,122
Nerve Sheath Tumor,qwen3,1.0,0.906371681415929,122,113
Nerve Sheath Tumor,qwen3-vl-235b-a22b,1.0,0.7559016393442622,122,122
Nerve Sheath Tumor,deepseek,1.0,0.8023364485981307,122,107
Nerve Sheath Tumor,deepseek-r1,1.0,0.6725409836065573,122,122
Nerve Sheath Tumor,claude-sonnet-37,1.0,0.6840163934426229,122,122
Nerve Sheath Tumor,claude-sonnet-45,1.0,0.6946721311475409,122,122
Nerve Sheath Tumor,claude-opus-45,1.0,0.4314754098360655,122,122
Retinoblastoma,GDD-ENS,1.0,0.6338354838709677,62,62
Retinoblastoma,gpt-5,1.0,0.6490322580645161,62,62
Retinoblastoma,gpt-4o,1.0,0.7,62,61
Retinoblastoma,o3-mini,1.0,0.8150000000000002,62,62
Retinoblastoma,medgemma,1.0,0.8112903225806453,62,62
Retinoblastoma,qwen3,1.0,0.9176363636363637,62,55
Retinoblastoma,qwen3-vl-235b-a22b,1.0,0.7266129032258065,62,62
Retinoblastoma,deepseek,1.0,0.7708333333333334,62,60
Retinoblastoma,deepseek-r1,1.0,0.6677419354838711,62,62
Retinoblastoma,claude-sonnet-37,1.0,0.6737096774193548,62,62
Retinoblastoma,claude-sonnet-45,1.0,0.6675806451612905,62,62
Retinoblastoma,claude-opus-45,1.0,0.4382258064516129,62,62
