cancer_type,model,f1,mean_prob,n_samples,n_valid
Ovarian Cancer,qwen3,0.6927619832440599,0.8938684597604539,5284,4759
Ovarian Cancer,qwen3-vl-235b-a22b,0.5730488792870645,0.7235143830431491,5284,5284
Ovarian Cancer,deepseek,0.4171191312679655,0.8284705407586763,5284,4956
Ovarian Cancer,deepseek-r1,0.5065008479366874,0.661041075146697,5284,5284
Ovarian Cancer,claude-sonnet-37,0.19473864024598564,0.6589875094625284,5284,5284
Ovarian Cancer,claude-sonnet-45,0.5703463203463204,0.6567341915940931,5284,5284
Ovarian Cancer,claude-opus-45,0.5635449232023922,0.43463927286498766,5284,5284
Endometrial Cancer,GDD-ENS,0.8191410313568139,0.7457430908633274,3973,3973
Endometrial Cancer,gpt-5,0.7266025641025641,0.6646086081047067,3973,3973
Endometrial Cancer,gpt-4o,0.4580003897875658,0.7241506572295248,3973,3956
Endometrial Cancer,o3-mini,0.6472591079332652,0.8188925245406493,3973,3973
Endometrial Cancer,medgemma,0.4651342476337647,0.7901837402466649,3973,3973
Endometrial Cancer,qwen3,0.4816573154941735,0.9001478112563956,3973,3518
Endometrial Cancer,qwen3-vl-235b-a22b,0.7504324579336373,0.759434935816763,3973,3973
Endometrial Cancer,deepseek,0.2754296330701347,0.8326151360086184,3973,3713
Endometrial Cancer,deepseek-r1,0.8367735324257063,0.733662219984898,3973,3973
Endometrial Cancer,claude-sonnet-37,0.6769896769896769,0.7326629750818021,3973,3973
Endometrial Cancer,claude-sonnet-45,0.7357199681782021,0.7413063176440977,3973,3973
Endometrial Cancer,claude-opus-45,0.739930225182366,0.5404282115869018,3973,3973
Esophagogastric Cancer,GDD-ENS,0.4245122985581001,0.5489768506056527,3715,3715
Esophagogastric Cancer,gpt-5,0.23263558515699334,0.5966244952893675,3715,3715
Esophagogastric Cancer,gpt-4o,0.01185025585779693,0.6716933080465998,3715,3691
Esophagogastric Cancer,o3-mini,0.0462792532211412,0.7937658142664873,3715,3715
Esophagogastric Cancer,medgemma,0.0005382131324004305,0.7714535666218034,3715,3715
Esophagogastric Cancer,qwen3,0.0,0.8915046644598252,3715,3323
Esophagogastric Cancer,qwen3-vl-235b-a22b,0.01919488136496934,0.7046301480484523,3715,3715
Esophagogastric Cancer,deepseek,0.002292920607623961,0.7161406025824962,3715,3485
Esophagogastric Cancer,deepseek-r1,0.12515770880645977,0.6487806191117093,3715,3715
Esophagogastric Cancer,claude-sonnet-37,0.03646934460887949,0.6269771197846568,3715,3715
Esophagogastric Cancer,claude-sonnet-45,0.10362429811128127,0.635302049622438,3715,3715
Esophagogastric Cancer,claude-opus-45,0.21608643457382953,0.42548855989232837,3715,3715
Prostate Cancer,GDD-ENS,0.7438899157937974,0.6777977763243951,3058,3058
Prostate Cancer,gpt-5,0.6112624886466849,0.6516988227599739,3058,3058
Prostate Cancer,gpt-4o,0.75,0.6927907742998353,3058,3035
Prostate Cancer,o3-mini,0.6781932137454074,0.8308011772400262,3058,3058
Prostate Cancer,medgemma,0.30816044260027664,0.7730869849574885,3058,3058
Prostate Cancer,qwen3,0.689822686422152,0.8954690396737115,3058,2697
Prostate Cancer,qwen3-vl-235b-a22b,0.6605343845816908,0.7145192936559843,3058,3058
Prostate Cancer,deepseek,0.5760039418576004,0.7143079584775086,3058,2890
Prostate Cancer,deepseek-r1,0.5776744186046512,0.7015238718116417,3058,3058
Prostate Cancer,claude-sonnet-37,0.6787643119464247,0.6764551994767822,3058,3058
Prostate Cancer,claude-sonnet-45,0.5686871050783993,0.669455737704918,3058,3058
Prostate Cancer,claude-opus-45,0.5326295585412668,0.4969555264879006,3058,3058
Bladder Cancer,GDD-ENS,0.747025121198766,0.70432353148083,2843,2843
Bladder Cancer,gpt-5,0.5487493619193466,0.6498241294407316,2843,2843
Bladder Cancer,gpt-4o,0.4246308163833938,0.681913689423417,2843,2827
Bladder Cancer,o3-mini,0.42318358291735997,0.8192085824832922,2843,2843
Bladder Cancer,medgemma,0.011192724728926198,0.7586352444600772,2843,2843
Bladder Cancer,qwen3,0.1154434250764526,0.8925679513184583,2843,2465
Bladder Cancer,qwen3-vl-235b-a22b,0.2536855036855037,0.7301477312697854,2843,2843
Bladder Cancer,deepseek,0.22836459361632117,0.738632986627043,2843,2692
Bladder Cancer,deepseek-r1,0.4599133261105092,0.6951248680970805,2843,2843
Bladder Cancer,claude-sonnet-37,0.47027172450901267,0.6803024973619416,2843,2843
Bladder Cancer,claude-sonnet-45,0.39151343705799146,0.6833509700176367,2843,2843
Bladder Cancer,claude-opus-45,0.61181640625,0.4851864883884588,2843,2843
Soft Tissue Sarcoma,GDD-ENS,0.6521392505979272,0.591594597791798,2536,2536
Soft Tissue Sarcoma,gpt-5,0.23705248522766773,0.6057413249211356,2536,2536
Soft Tissue Sarcoma,gpt-4o,0.07820804859529233,0.6856538917423942,2536,2531
Soft Tissue Sarcoma,o3-mini,0.158983666061706,0.8055599369085173,2536,2536
Soft Tissue Sarcoma,medgemma,0.2677595628415301,0.7760055205047318,2536,2536
Soft Tissue Sarcoma,qwen3,0.09209970426700465,0.8941718334809566,2536,2258
Soft Tissue Sarcoma,qwen3-vl-235b-a22b,0.1924447612259444,0.7141719242902208,2536,2536
Soft Tissue Sarcoma,deepseek,0.08613617719442165,0.7685169309901414,2536,2333
Soft Tissue Sarcoma,deepseek-r1,0.24133148404993066,0.6634384858044164,2536,2536
Soft Tissue Sarcoma,claude-sonnet-37,0.1025065469509914,0.6400236593059937,2536,2536
Soft Tissue Sarcoma,claude-sonnet-45,0.17553956834532375,0.6400355450236966,2536,2536
